Rtable entry: Grad = ZZZZIIIIFFFF | subentry: A = 0
                                  
Rtable entry: Grad = IIIIFFFFCPPP | subentry: A = -4
                                  
Rtable entry: Grad = FFFFCPPPRRRR | subentry: A = -8
                                  
Rtable entry: Grad = CPPPRRRRZZZZ | subentry: A = -12
                                  
Dump = 0xa368cb60190a0804d00dcb4071474480684c494155544c41c3ffeff92e6376511420003079ade5bd987d247736ec7943f3ddffdf1b020102dc0b6940574bc40168496f43a4623c0eb0739122be84f47ae0520112f3e7ffbf1625f12c840001013662a7575472722111808008502f4b60550fc400704b6947dfb665d2a0733182e4730202c78ecd8349001400b9ba28d9820008400080a0001911a000d00d69415501c404684b65505fbc240f60307abe9d008041f87311263935284fc5715dc3a6818e773b000042d04d494451415400585b684187211c8666b1e1e1c2ac82018090008091b283eae1733d025545554141645f58e263104211400030d00b71405503e41020496841ecd1b8900b4f4f37044c3e654992286927e40c075d0f9e6cb07157781f00040011070000f04f49625563cc80f88b6941f07b11427ef31b7eb8328318d5155955bc411dc738f50be0bbaa8aa032383b660f44d03a59080050f10f4970d14b4420687a69c1800058408d050400e42ffa69e07290009289e449c46311026ed3fe511d010802f00f4a605543c02268db6911a84d1ab3eca13eb5ea7b110a8001b1424672c6d400204050200134b00b000401800f6950154bd400286b4940024868ebe0bfff77d7040400ac0ba1545492892043f3562e1af3acaf7d95335af1ff840451000a00d00f5ac051434506784b61c330535c0e31113b33000048440d6e68322a47fd68ff48714eb0e34633ee6104e719400800d20d4b44554b040ae04b6951246c4ac00880805e8472557cb659538e1ba26ddb834100201c000104e0b301009b4e537019004244d00f685047436420f84bf941608a98363d2e2e2a55f455d53f72764355c42a43b5fbb7fd3b0c413e0561554111030100508ec94071470400604f69093d0e3303e4431102afbfe7ff9311450af1b5f4b42b6008000649922cd9000410a00f4944c5434422e8db694586b0e52c26088000ea9975c05bfffff75a3a06554b0df1511500224339101080d21b494155d344052f4b694148703075631e133ebc2cb3855e272e244767edb8123e4b56bc605859cd7f671e19002210502f48c054430010604b6351008018207371dc0dda48c9a100c9cb72d60f771b32c0da2d07402e43592ccf2ab352782819820002d00749c615c74000682b69608e43c840e9b2ac413cc3051c61020c2001020030a3ffb5dfa2048714e0779143ea6819a919202408e0054940555b04206843ed0155f15488f4df77df2ad3b62d3e2e7f781cdf513c0041a00140209842ada98e29194c0020f00f59d0554b4720688b69591802104045542e38199fe328d2ffd5ff7f5e5d19e07351a26077100313836c191b209000d10e495454434010284a2945e8730152f98fe26376372e700e00c8041541666085002420a9aac747707b510211080022
Position = 0000, Accumulator = 0.000000e+00, Counter = 0
Position = 0001, Accumulator = 0.000000e+00, Counter = 0
Position = 0002, Accumulator = 0.000000e+00, Counter = 0
Position = 0003, Accumulator = 0.000000e+00, Counter = 0
Position = 0004, Accumulator = 0.000000e+00, Counter = 2
Position = 0005, Accumulator = 0.000000e+00, Counter = 0
Position = 0006, Accumulator = 0.000000e+00, Counter = 2
Position = 0007, Accumulator = 0.000000e+00, Counter = 1
Position = 0008, Accumulator = 0.000000e+00, Counter = 2
Position = 0009, Accumulator = 0.000000e+00, Counter = 0
Position = 0010, Accumulator = 0.000000e+00, Counter = 2
Position = 0011, Accumulator = 0.000000e+00, Counter = 2
Position = 0012, Accumulator = 0.000000e+00, Counter = 2
Position = 0013, Accumulator = 0.000000e+00, Counter = 0
Position = 0014, Accumulator = 0.000000e+00, Counter = 2
Position = 0015, Accumulator = 0.000000e+00, Counter = 2
Position = 0016, Accumulator = 0.000000e+00, Counter = 1
Position = 0017, Accumulator = 0.000000e+00, Counter = 1
Position = 0018, Accumulator = 0.000000e+00, Counter = 0
Position = 0019, Accumulator = 0.000000e+00, Counter = 0
Position = 0020, Accumulator = 0.000000e+00, Counter = 0
Position = 0021, Accumulator = 0.000000e+00, Counter = 0
Position = 0022, Accumulator = 0.000000e+00, Counter = 0
Position = 0023, Accumulator = 0.000000e+00, Counter = 0
Position = 0024, Accumulator = 0.000000e+00, Counter = 0
Position = 0025, Accumulator = 0.000000e+00, Counter = 0
Position = 0026, Accumulator = 0.000000e+00, Counter = 0
Position = 0027, Accumulator = 0.000000e+00, Counter = 2
Position = 0028, Accumulator = 0.000000e+00, Counter = 0
Position = 0029, Accumulator = 0.000000e+00, Counter = 0
Position = 0030, Accumulator = 0.000000e+00, Counter = 0
Position = 0031, Accumulator = 0.000000e+00, Counter = 0
Position = 0032, Accumulator = 0.000000e+00, Counter = 1
Position = 0033, Accumulator = 0.000000e+00, Counter = 0
Position = 0034, Accumulator = 0.000000e+00, Counter = 0
Position = 0035, Accumulator = 0.000000e+00, Counter = 2
Position = 0036, Accumulator = 0.000000e+00, Counter = 0
Position = 0037, Accumulator = 0.000000e+00, Counter = 2
Position = 0038, Accumulator = 0.000000e+00, Counter = 0
Position = 0039, Accumulator = 0.000000e+00, Counter = 0
Position = 0040, Accumulator = 0.000000e+00, Counter = 2
Position = 0041, Accumulator = 0.000000e+00, Counter = 0
Position = 0042, Accumulator = 0.000000e+00, Counter = 0
Position = 0043, Accumulator = 0.000000e+00, Counter = 0
Position = 0044, Accumulator = 0.000000e+00, Counter = 0
Position = 0045, Accumulator = 0.000000e+00, Counter = 0
Position = 0046, Accumulator = 0.000000e+00, Counter = 0
Position = 0047, Accumulator = 0.000000e+00, Counter = 0
Position = 0048, Accumulator = 0.000000e+00, Counter = 0
Position = 0049, Accumulator = 0.000000e+00, Counter = 0
Position = 0050, Accumulator = 0.000000e+00, Counter = 0
Position = 0051, Accumulator = 0.000000e+00, Counter = 0
Position = 0052, Accumulator = 0.000000e+00, Counter = 2
Position = 0053, Accumulator = 0.000000e+00, Counter = 0
Position = 0054, Accumulator = 0.000000e+00, Counter = 1
Position = 0055, Accumulator = 0.000000e+00, Counter = 1
Position = 0056, Accumulator = 0.000000e+00, Counter = 0
Position = 0057, Accumulator = 0.000000e+00, Counter = 0
Position = 0058, Accumulator = 0.000000e+00, Counter = 2
Position = 0059, Accumulator = 0.000000e+00, Counter = 0
Position = 0060, Accumulator = 0.000000e+00, Counter = 1
Position = 0061, Accumulator = 0.000000e+00, Counter = 0
Position = 0062, Accumulator = 0.000000e+00, Counter = 0
Position = 0063, Accumulator = 0.000000e+00, Counter = 1
Position = 0064, Accumulator = 0.000000e+00, Counter = 0
Position = 0065, Accumulator = 0.000000e+00, Counter = 0
Position = 0066, Accumulator = 0.000000e+00, Counter = 0
Position = 0067, Accumulator = 0.000000e+00, Counter = 0
Position = 0068, Accumulator = 0.000000e+00, Counter = 0
Position = 0069, Accumulator = 0.000000e+00, Counter = 1
Position = 0070, Accumulator = 0.000000e+00, Counter = 0
Position = 0071, Accumulator = 0.000000e+00, Counter = 0
Position = 0072, Accumulator = 0.000000e+00, Counter = 0
